"CATID","ellip","z_spec","Mstar","g_i","M_r","CUBEID","CUBEIDPUB","SIGMA_3_ARCSECOND","SIGMA_3_ARCSECOND_ERR","TYPE","SFR_3_ARCSECOND","SFR_3_ARCSECOND_ERR","WARNSKER","WARNZ"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.0331851318","None","0","0"
"22582","0.1926999986","0.0778099969","11.0600004196","1.2799999714","-22.2600002289","22582_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","22582_A","223.8334197998","1.7042912245","0.5","0.0171308983","None","0","0"
"23082","0.0869999975","0.0785500035","11.0799999237","1.3400000334","-22.2099990845","23082_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01","23082_A","266.7641601562","1.9693098068","0.0","0.0060437713","None","0","0"
"23265","0.1177000031","0.0779799968","11.0","1.3400000334","-22.0200004578","23265_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","23265_A","188.2836608887","2.7705264091","0.0","0.021679556","None","0","0"
"23341","0.1526000053","0.0783300027","11.0100002289","1.3500000238","-22.0200004578","23341_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","23341_A","272.1161804199","2.3411605358","0.0","0.163529858","0.0349427238","0","0"
"30469","0.2454999983","0.0763999969","11.1599998474","1.3300000429","-22.4099998474","30469_blue_red_7_Y18SAR4_P001_12T128_2018_05_07-2018_05_16","30469_A","248.4788360596","1.7606444359","0.5","0.0355120823","0.0104519976","0","0"
"30615","0.2041999996","0.0786599964","11.1300001144","1.3700000048","-22.2600002289","30615_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30615_A","301.599395752","2.4763855934","0.5","0.0649906397","0.041487772","0","0"
"30847","0.2348999977","0.1067399979","11.4399995804","1.4099999666","-23.1100006104","30847_blue_red_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19","30847_A","256.4512023926","2.7104022503","0.5","1.4831551313","0.7168066502","0","0"
"31623","0.3486999869","0.0924699977","11.3100004196","1.3600000143","-22.7700004578","31623_blue_red_8_Y14SAR4_P008_12T070_2016_04_04-2016_04_12","31623_A","290.3069458008","2.0366802216","0.5","0.0100194989","None","0","0"
"32196","0.1811999977","0.0759499967","11.279999733","1.2200000286","-22.75","32196_blue_red_7_Y14SAR4_P007_12T069_2016_04_04-2016_04_12","32196_A","179.0332336426","1.3556061983","0.0","0.0061987466","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","39057_C","140.3299865723","0.8429540396","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","39057_A","None","None","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0014922739","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0016055771","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0024096977","None","0","0"
"39057","0.0688999966","0.0196199995","10.4399995804","1.1699999571","-20.6900005341","39057_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","39057_B","None","None","0.0","0.0014922739","None","0","0"
"40445","0.205400005","0.0828899965","11.2899999619","1.3700000048","-22.6100006104","40445_blue_red_8_Y18SAR4_P002_12T127_2018_05_07-2018_05_16","40445_A","202.6799621582","2.0284690857","0.0","0.0052253995","None","0","0"
"40491","0.2840000093","0.077229999","10.4600000381","1.2100000381","-20.8799991608","40491_blue_red_8_Y18SAR4_P002_12T127_2018_05_07-2018_05_16","40491_A","120.8873672485","1.9766345024","0.5","0.0086787669","None","0","0"
"41059","0.1071999967","0.0707900003","11.3199996948","1.3200000525","-22.8099994659","41059_blue_red_7_Y14SAR4_P007_12T069_2016_04_04-2016_04_12","41059_A","272.8857421875","2.2092237473","0.0","0.0399039276","0.0141665107","0","0"
