CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
136842,0.1897999942,0.02709,10.8000001907,-21.5900001526,6.0799999237,0.0861150846,0.0027574366,173.2145996094,1.0790640116,0.0
136871,0.2619999945,0.0263800006,9.7299995422,-19.0,1.8700000048,0.1924432963,0.0153100286,91.2634887695,1.6830699444,0.5
137037,0.2179999948,0.0923099965,11.2399997711,-22.6200008392,4.8099999428,0.0896472186,0.0066117491,290.6467285156,2.649695158,0.5
143291,0.2274000049,0.044879999,10.1700000763,-20.25,3.9600000381,0.090418525,0.0101390406,126.8328781128,1.5067801476,0.0
143735,0.1248999983,0.0811500028,10.9499998093,-22.0400009155,2.7300000191,0.3518584073,0.0087317657,157.1748352051,1.4614800215,0.5
177969,0.2087000012,0.0759000033,11.029999733,-22.0799999237,4.0100002289,0.0771197155,0.0065057729,234.8963775635,1.9847044945,0.0
184042,0.0962999985,0.0768399984,11.3800001144,-22.8299999237,6.0500001907,0.07207717,0.0030374527,285.8869934082,1.6909072399,0.0
184046,0.1316000074,0.0789899975,10.9600000381,-21.9099998474,2.8699998856,0.0566535071,0.0050841202,257.0724487305,2.3695449829,0.0
184648,0.2240000069,0.0187500007,10.6000003815,-21.0499992371,5.6399998665,0.2714776099,0.0022241799,160.2250671387,0.6616131067,0.0
185365,0.1623000056,0.0522399992,10.3900003433,-20.75,1.7899999619,0.2184432,0.0090620024,100.2736587524,1.1340759993,0.5
185567,0.3815999925,0.0823699981,10.8999996185,-21.8600006104,3.5799999237,0.1413204521,0.0063535864,216.8021087646,1.6712480783,0.5
185914,0.1589999944,0.1113099977,11.1599998474,-22.5900001526,4.9600000381,0.4781079292,0.0107248519,197.6908111572,2.9616360664,0.5
202480,0.3106000125,0.0520199984,10.5600004196,-21.0300006866,4.2399997711,0.1976649463,0.0078260442,194.5334625244,1.7761093378,0.5
203833,0.1670999974,0.0529000014,10.8999996185,-21.7600002289,3.5499999523,0.0859983563,0.0043882434,207.1190032959,1.4741863012,0.0
204832,0.0221999995,0.0552299991,10.0699996948,-20.0499992371,2.75,0.1631827503,0.0244673304,63.4116210938,1.8061139584,0.0
204877,0.0760999992,0.0541200005,10.2100000381,-20.3099994659,3.6099998951,0.1956142336,0.0268555507,78.1860656738,2.1136972904,0.0
205211,0.1968999952,0.0536100008,10.4300003052,-20.7800006866,3.75,0.1163295731,0.0150752012,130.8561096191,2.0238993168,0.5
208652,0.0048000002,0.0498199984,11.0,-21.9300003052,5.25,0.1555043906,0.0074353125,153.841796875,1.2841156721,0.0
209185,0.3321999907,0.0515800007,10.7299995422,-21.4799995422,5.6399998665,0.5766332746,0.0086744372,176.7521820068,1.7256429195,0.5
209680,0.1706999987,0.0529499985,11.1099996567,-22.1399993896,7.6700000763,0.1122967973,0.0063634822,199.6439666748,2.5319697857,0.0
210467,0.2495000064,0.0925600007,10.6300001144,-21.1299991608,1.9800000191,0.0852764994,0.0188485086,177.3372802734,2.792072773,0.0
214211,0.0401999988,0.0776500031,10.8999996185,-21.8899993896,3.5199999809,0.0814963654,0.0068344483,144.8746795654,1.5425710678,0.5
215289,0.0714000016,0.0576100014,10.8100004196,-21.6399993896,3.0499999523,0.1444551349,0.0069726855,179.2808990479,1.6384973526,0.0
216184,0.0812999979,0.0187899992,10.5100002289,-20.7999992371,5.2399997711,0.2708106041,0.0028674491,151.0646514893,0.826607883,0.0
